source,airline,flight_number,origin,destination,booking_timestamp,departure_date,departure_time,advance_days,cabin_class,fare_class,stops,base_fare,taxes,fees,baggage,total_fare,refundable,cancellation_policy,currency,collected_at
CSV,IndiGo,6E890,BLR,BOM,2026-08-01,2026-08-08,06:45,7,Economy,Standard,0,3900,468,100,15kg,4468,No,Standard,INR,2026-08-01
CSV,Air India,AI680,BLR,BOM,2026-08-01,2026-08-08,14:30,7,Economy,Standard,0,4300,516,100,15kg,4916,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E890,BLR,BOM,2026-08-02,2026-08-09,06:45,7,Economy,Standard,0,4000,480,100,15kg,4580,No,Standard,INR,2026-08-02
CSV,Air India,AI680,BLR,BOM,2026-08-02,2026-08-09,14:30,7,Economy,Standard,0,4400,528,100,15kg,5028,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E456,BOM,BLR,2026-08-01,2026-08-08,07:30,7,Economy,Standard,0,3800,456,100,15kg,4356,No,Standard,INR,2026-08-01
CSV,Air India,AI503,BOM,BLR,2026-08-01,2026-08-08,09:00,7,Economy,Standard,0,4200,504,100,15kg,4804,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E456,BOM,BLR,2026-08-02,2026-08-09,07:30,7,Economy,Standard,0,3900,468,100,15kg,4468,No,Standard,INR,2026-08-02
CSV,IndiGo,6E123,BOM,DEL,2026-08-01,2026-08-08,08:00,7,Economy,Standard,0,4500,540,100,15kg,5140,Yes,Standard,INR,2026-08-01
CSV,Air India,AI865,BOM,DEL,2026-08-01,2026-08-08,10:30,7,Economy,Standard,0,4800,576,100,15kg,5476,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E123,BOM,DEL,2026-08-02,2026-08-09,08:00,7,Economy,Standard,0,4600,552,100,15kg,5252,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E123,BOM,DEL,2026-08-03,2026-08-10,08:00,7,Economy,Standard,0,4700,564,100,15kg,5364,Yes,Standard,INR,2026-08-03
CSV,Air India,AI865,BOM,DEL,2026-08-03,2026-08-10,10:30,7,Economy,Standard,0,4900,588,100,15kg,5588,Yes,Standard,INR,2026-08-03
CSV,IndiGo,6E456,BOM,HYD,2026-08-01,2026-08-08,08:30,7,Economy,Standard,0,3500,420,100,15kg,4020,No,Standard,INR,2026-08-01
CSV,Air India,AI542,BOM,HYD,2026-08-01,2026-08-08,11:00,7,Economy,Standard,0,3900,468,100,15kg,4468,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E456,BOM,HYD,2026-08-02,2026-08-09,08:30,7,Economy,Standard,0,3600,432,100,15kg,4132,No,Standard,INR,2026-08-02
CSV,Air India,AI542,BOM,HYD,2026-08-02,2026-08-09,11:00,7,Economy,Standard,0,4000,480,100,15kg,4580,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E789,DEL,BLR,2026-08-01,2026-08-08,06:30,7,Economy,Standard,0,4500,540,100,15kg,5140,No,Standard,INR,2026-08-01
CSV,Air India,AI501,DEL,BLR,2026-08-01,2026-08-08,18:00,7,Economy,Standard,0,5200,624,100,15kg,5924,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E789,DEL,BLR,2026-08-02,2026-08-09,06:30,7,Economy,Standard,0,4600,552,100,15kg,5252,No,Standard,INR,2026-08-02
CSV,Air India,AI501,DEL,BLR,2026-08-02,2026-08-09,18:00,7,Economy,Standard,0,5300,636,100,15kg,6036,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E321,DEL,BOM,2026-08-01,2026-08-08,09:30,7,Economy,Standard,0,4700,564,100,15kg,5364,No,Standard,INR,2026-08-01
CSV,Air India,AI864,DEL,BOM,2026-08-01,2026-08-08,12:00,7,Economy,Standard,0,5000,600,100,15kg,5700,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E321,DEL,BOM,2026-08-02,2026-08-09,09:30,7,Economy,Standard,0,4800,576,100,15kg,5476,No,Standard,INR,2026-08-02
CSV,Air India,AI864,DEL,BOM,2026-08-02,2026-08-09,12:00,7,Economy,Standard,0,5100,612,100,15kg,5812,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E567,DEL,HYD,2026-08-01,2026-08-08,08:00,7,Economy,Standard,0,4100,492,100,15kg,4692,No,Standard,INR,2026-08-01
CSV,Air India,AI544,DEL,HYD,2026-08-01,2026-08-08,13:30,7,Economy,Standard,0,4500,540,100,15kg,5140,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E567,DEL,HYD,2026-08-02,2026-08-09,08:00,7,Economy,Standard,0,4200,504,100,15kg,4804,No,Standard,INR,2026-08-02
CSV,Air India,AI544,DEL,HYD,2026-08-02,2026-08-09,13:30,7,Economy,Standard,0,4600,552,100,15kg,5252,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E235,DEL,PNQ,2026-08-01,2026-08-08,16:00,7,Economy,Standard,0,3400,408,100,15kg,3908,No,Standard,INR,2026-08-01
CSV,Air India,AI851,DEL,PNQ,2026-08-01,2026-08-08,19:30,7,Economy,Standard,0,3700,444,100,15kg,4244,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E235,DEL,PNQ,2026-08-02,2026-08-09,16:00,7,Economy,Standard,0,3500,420,100,15kg,4020,No,Standard,INR,2026-08-02
CSV,Air India,AI851,DEL,PNQ,2026-08-02,2026-08-09,19:30,7,Economy,Standard,0,3800,456,100,15kg,4356,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E345,HYD,BOM,2026-08-01,2026-08-08,10:00,7,Economy,Standard,0,3600,432,100,15kg,4132,No,Standard,INR,2026-08-01
